"Interval,time,open,high,low,close,volume,rsi,macd,macd_avg,macd_diff,sma20,sma50,sma200,ema20,ema50,ema200,stochrsi,bb_upper,bb_lower,adx,VolAvg20,VolAvg50"
"5min,2022-12-07 09:30:00,389.62,390.92,389.26,390.84,1700744,68.14,0.31,0.16,0.16,389.23,389.21,,389.45,389.42,,1.0,1.0,0.0,45.56,137833.8,65107.56"
"15min,2022-12-07 09:30:00,389.62,391.96,389.26,390.61,4055940,22.95,-5.69,-7.24,1.55,389.3,410.23,422.18,393.22,404.72,418.57,1.0,0.0,0.0,59.29,281642.3,115740.22"
"30min,2022-12-07 09:30:00,389.62,391.96,389.02,389.5,6943066,9.37,-10.08,-9.22,-0.87,404.78,418.56,419.71,400.88,412.53,419.02,0.12,0.0,0.0,57.33,431897.15,1540444.6"
"60min,2022-12-07 09:00:00,389.53,391.96,389.02,389.5,7314390,8.83,-9.5,-5.17,-4.33,416.4,420.86,418.71,410.12,417.42,418.7,0.05,0.0,0.0,57.84,2611515.3,2703012.1"
"5min,2023-01-13 09:25:00,391.81,392.24,391.77,392.13,137484,45.64,-0.4,-0.52,0.12,391.89,393.4,394.81,392.11,393.06,394.2,1.0,0.0,0.0,24.84,50024.1,28198.68"
"15min,2023-01-13 09:30:00,392.11,392.85,391.83,392.47,3344692,34.43,-0.88,-0.79,-0.09,393.57,394.75,392.0,393.19,394.08,392.18,0.76,0.0,0.0,24.12,239301.4,839906.88"
"30min,2023-01-13 09:30:00,392.11,393.7,391.83,393.21,6211096,44.01,-0.66,-0.33,-0.34,394.41,394.53,387.94,393.86,393.81,389.3,0.53,0.0,0.0,37.71,689212.0,1905763.0"
"60min,2023-01-13 09:00:00,391.99,393.7,391.51,393.21,6509734,47.07,0.22,0.79,-0.57,394.76,392.15,384.17,394.07,392.25,387.28,0.3,0.0,0.0,20.61,4730921.3,4457019.74"
"5min,2023-02-10 13:55:00,405.48,405.48,405.15,405.17,465252,47.88,0.19,0.22,-0.02,405.28,405.2,405.16,405.39,405.08,405.7,0.0,0.0,0.0,13.94,509483.65,681523.04"
"15min,2023-02-10 14:00:00,405.18,405.65,404.85,405.27,2092414,53.54,0.21,0.15,0.06,405.09,404.66,409.15,404.99,405.25,407.8,0.58,0.0,0.0,25.22,2102775.6,874202.54"
"30min,2023-02-10 14:00:00,405.18,405.65,404.8,404.88,3812304,47.04,-0.32,-0.61,0.28,404.37,407.05,409.78,405.04,406.41,407.93,0.76,0.0,0.0,31.29,2256497.3,2446497.18"
"60min,2023-02-10 14:00:00,405.18,405.9,404.64,405.84,7311994,45.97,-1.21,-1.47,0.26,405.54,409.08,406.08,405.94,407.73,405.55,1.0,0.0,0.0,31.8,5480474.95,5192481.9"
"5min,2023-02-14 13:50:00,410.84,411.13,410.72,410.99,385475,58.81,0.44,0.36,0.09,410.1,409.91,410.92,410.28,410.11,410.27,0.6,0.0,0.0,24.38,634611.35,898938.78"
"15min,2023-02-14 13:45:00,410.28,411.29,410.28,410.86,1814821,53.57,-0.2,-0.45,0.24,409.83,410.93,407.84,410.11,410.38,409.24,0.95,0.0,0.0,23.03,2612813.6,1126217.28"
"30min,2023-02-14 14:00:00,410.86,411.4,409.65,410.94,3479547,53.11,-0.1,-0.04,-0.07,410.89,410.19,409.08,410.47,409.96,408.74,0.44,0.0,0.0,20.58,2977338.0,2449702.5"
"60min,2023-02-14 14:00:00,410.86,412.06,409.65,411.57,6958992,57.6,0.56,0.78,-0.21,410.9,407.91,407.69,410.25,409.36,406.66,0.53,0.0,0.0,23.98,5492500.15,4801349.48"
