"Interval,time,open,high,low,close,volume,rsi,macd,macd_avg,macd_diff,sma20,sma50,sma200,ema20,ema50,ema200,stochrsi,bb_upper,bb_lower,adx,VolAvg20,VolAvg50"
"5min,2022-12-14 08:35:00,398.24,398.24,398.07,398.12,29732,46.63,-0.13,-0.11,-0.02,398.38,398.38,399.42,398.2,398.35,398.23,0.61,0.0,0.0,20.84,27139.75,13588.82"
"15min,2022-12-14 08:30:00,397.97,398.32,397.92,398.2,116681,47.25,-0.14,-0.1,-0.04,398.44,398.33,395.09,398.37,398.46,397.19,0.42,0.0,0.0,11.27,41451.2,1247157.1"
"30min,2022-12-14 08:30:00,397.97,398.43,397.92,398.28,188760,48.59,-0.02,0.07,-0.09,398.49,398.44,398.5,398.51,397.76,400.0,0.23,0.0,0.0,17.32,1623930.85,2648397.48"
"60min,2022-12-14 09:00:00,398.35,400.56,397.92,400.44,6054145,60.55,0.86,1.06,-0.19,399.39,395.29,409.28,398.33,397.31,405.32,1.0,0.0,0.0,24.81,6457010.0,5564718.78"
"5min,2022-12-21 09:00:00,382.19,382.2,381.9,381.91,43282,55.31,0.27,0.26,0.01,381.74,381.39,379.95,381.81,381.41,380.36,0.0,0.0,0.0,14.16,32147.8,17458.46"
"15min,2022-12-21 09:00:00,382.19,382.2,381.62,381.72,153642,57.41,0.44,0.4,0.03,381.4,380.44,380.35,381.33,380.61,381.67,0.51,0.0,0.0,13.14,49998.65,770296.0"
"30min,2022-12-21 09:00:00,382.19,382.2,381.57,381.81,316340,60.45,0.64,0.56,0.08,380.72,379.56,387.36,380.9,380.38,385.84,0.51,0.0,0.0,15.09,912135.8,1516869.1"
"60min,2022-12-21 09:00:00,382.19,382.5,381.22,381.69,5963828,58.38,0.4,0.02,0.38,379.93,380.33,395.23,380.51,381.71,393.1,0.77,0.0,0.0,14.84,3988978.95,5494162.18"
"5min,2022-12-23 10:35:00,380.68,381.2,380.34,381.19,918804,65.11,0.23,-0.2,0.43,378.6,379.45,378.37,379.15,379.26,379.54,1.0,1.0,0.0,30.52,696610.65,313725.82"
"15min,2022-12-23 10:30:00,379.94,381.21,379.87,380.56,2635982,57.55,-0.06,-0.02,-0.04,379.64,379.15,380.91,379.34,379.38,380.78,0.73,0.0,0.0,30.55,827108.05,1202372.04"
"30min,2022-12-23 10:30:00,379.94,381.21,379.12,379.32,4622752,50.0,-0.11,-0.11,0.0,379.3,380.02,381.57,379.22,379.82,383.35,0.65,0.0,0.0,18.78,942995.65,2332865.6"
"60min,2022-12-23 11:00:00,379.32,380.65,378.54,380.11,5634914,51.09,-0.51,-0.69,0.19,378.52,380.93,387.71,379.55,380.63,389.49,0.94,0.0,0.0,13.9,6037967.7,4978288.7"
"5min,2022-12-29 08:35:00,377.67,378.54,377.65,378.46,114848,77.76,0.21,0.13,0.09,377.29,377.08,377.26,377.37,377.05,377.39,1.0,1.0,0.0,26.62,24686.0,12033.22"
"15min,2022-12-29 08:30:00,377.24,378.63,377.19,378.61,271903,71.78,0.35,0.22,0.13,377.02,376.51,379.6,377.06,377.1,378.99,1.0,1.0,0.0,32.81,37242.45,903237.86"
"30min,2022-12-29 08:30:00,377.24,378.7,377.19,378.24,434729,60.92,-0.08,-0.41,0.33,376.32,378.14,380.19,377.01,377.87,380.78,1.0,1.0,0.0,22.72,1313167.7,1500117.44"
"60min,2022-12-29 09:00:00,378.2,380.34,377.62,380.13,7852332,60.72,-0.49,-0.89,0.4,377.7,379.51,384.97,377.87,378.98,385.75,1.0,0.0,0.0,18.39,3899905.6,3748158.96"
"5min,2023-01-04 10:15:00,379.5,380.05,379.25,379.78,911933,38.87,-0.28,-0.06,-0.22,381.01,380.94,379.64,380.75,380.81,380.36,0.15,0.0,0.0,23.63,689200.85,292004.44"
"15min,2023-01-04 10:15:00,379.5,380.2,379.12,380.18,2164024,46.35,0.15,0.31,-0.16,380.92,379.99,380.57,380.78,380.44,380.25,0.24,0.0,0.0,25.04,793051.6,866911.9"
"30min,2023-01-04 10:00:00,381.69,382.79,378.54,380.18,7914128,47.71,0.35,0.26,0.09,380.39,380.73,380.07,380.59,380.37,380.62,0.01,0.0,0.0,12.94,837875.4,1791015.2"
"60min,2023-01-04 10:00:00,381.69,382.79,378.54,381.5,12505958,55.94,0.22,-0.02,0.24,380.12,380.67,381.05,380.51,380.32,383.77,0.9,0.0,0.0,12.32,4683652.55,4781312.64"
"5min,2023-01-06 09:30:00,381.14,382.15,380.34,382.04,1953199,70.12,0.93,0.82,0.12,379.89,378.82,378.6,380.33,379.29,379.11,0.69,0.0,0.0,48.64,314692.2,132060.98"
"15min,2023-01-06 09:30:00,381.14,382.48,378.1,378.74,5392054,48.82,0.51,0.25,0.26,378.72,378.59,380.15,379.1,378.93,379.88,0.23,0.0,0.0,29.36,502728.8,902799.72"
"30min,2023-01-06 09:30:00,381.14,382.48,377.99,379.27,8883641,51.24,0.11,-0.23,0.34,378.59,379.72,379.91,378.97,379.42,380.32,0.41,0.0,0.0,29.84,1031740.25,1759147.38"
"60min,2023-01-06 10:00:00,379.3,384.09,377.95,383.79,19209548,62.58,0.02,-0.48,0.49,379.14,380.17,380.32,379.77,380.08,382.81,0.98,1.0,0.0,27.22,5333513.55,5249393.04"
"5min,2023-01-09 09:15:00,388.38,388.58,388.33,388.54,38170,58.17,0.12,0.11,0.01,388.24,388.13,385.85,388.29,388.01,385.79,0.67,0.0,0.0,14.34,36887.15,19599.58"
"15min,2023-01-09 09:15:00,388.38,389.03,388.33,388.87,286738,65.86,0.5,0.53,-0.03,388.15,387.05,382.19,387.98,386.62,383.0,0.85,1.0,0.0,17.75,62787.8,1026121.56"
"30min,2023-01-09 09:30:00,388.87,390.16,387.85,390.09,7050502,78.39,1.4,1.42,-0.02,387.49,383.67,381.34,387.42,384.96,382.06,1.0,1.0,0.0,31.77,904830.85,2187859.58"
"60min,2023-01-09 09:00:00,388.17,390.16,387.85,390.09,7407529,73.49,2.18,1.85,0.32,385.22,382.39,380.81,385.72,383.24,383.38,1.0,0.0,0.0,38.56,5443147.1,5324655.22"
"5min,2023-01-20 09:05:00,387.77,387.98,387.69,387.96,17810,50.58,0.0,0.07,-0.07,388.14,387.77,387.66,387.96,387.87,388.14,0.4,0.0,0.0,28.19,36127.35,17756.82"
"15min,2023-01-20 09:00:00,387.6,388.2,387.5,388.19,93403,55.3,0.1,0.06,0.04,387.75,387.86,391.79,387.86,387.9,390.39,0.62,0.0,0.0,23.34,47432.85,1051244.52"
"30min,2023-01-20 09:00:00,387.6,388.72,387.5,388.57,350901,55.86,-0.06,-0.19,0.13,387.71,387.97,392.98,387.86,388.76,390.78,1.0,1.0,0.0,14.01,1411827.95,1743088.64"
"60min,2023-01-20 09:00:00,387.6,388.72,386.89,388.21,7008474,46.11,-0.88,-1.22,0.34,387.58,391.62,388.25,388.32,390.28,389.48,1.0,0.0,0.0,21.73,4621123.05,4949598.24"
"5min,2023-01-23 09:00:00,395.04,395.13,394.9,394.92,29978,55.08,0.2,0.22,-0.02,394.82,394.33,392.59,394.8,394.5,392.85,0.1,0.0,0.0,30.07,42910.4,21578.58"
